map,score,penalty,net_score,duration_s,timestamp,status
26c1_1,1310,0,1310,289,2026-06-05 18:09:25,OK
26c1_2,1582,0,1582,289,2026-06-05 18:14:48,OK
26c1_3,962,-3,959,290,2026-06-05 18:20:10,OK
26c1_4,1452,-9,1443,288,2026-06-05 18:25:35,OK
26c1_5,789,-7,782,290,2026-06-05 18:48:43,OK
26c1_6,2364,0,2364,290,2026-06-05 18:32:08,OK
26c1_7,1795,-1,1794,288,2026-06-05 18:37:32,OK
26c1_8,2045,-1,2044,290,2026-06-05 18:43:00,OK
